Date,Product,Sales,Region,Profit
01-01-2023,Tablet,600.45,North,132.75
01-01-2023,Tablet,291.57,South,30.16
01-01-2023,Laptop,1388.55,East,298.97
01-01-2023,Tablet,784.23,East,96.28
01-01-2023,Monitor,1079.46,West,168.74
01-01-2023,Tablet,576.53,West,137.44
02-01-2023,Monitor,1363.63,South,235.9
02-01-2023,Tablet,158.87,South,38.51
02-01-2023,Laptop,1162.58,West,324.46
02-01-2023,Tablet,888.59,North,126.34
03-01-2023,Keyboard,31.97,Central,11.82
03-01-2023,Tablet,156.03,West,17.03
03-01-2023,Keyboard,50.35,North,11.89
04-01-2023,Mouse,95.31,Central,27.39
04-01-2023,Mouse,26.84,South,5.91
04-01-2023,Monitor,884.19,East,251.95
04-01-2023,Monitor,773.06,East,148.29
04-01-2023,Monitor,840.98,South,175.47
04-01-2023,Keyboard,75.49,South,29.49
04-01-2023,Keyboard,33.16,South,9.87
05-01-2023,Tablet,599.3,West,100.5
05-01-2023,Laptop,1049.84,East,165.38
05-01-2023,Smartphone,305.64,East,66.97
05-01-2023,Laptop,663.17,Central,220.45
05-01-2023,Tablet,406.3,East,103.99
06-01-2023,Smartphone,517.36,West,144.61
06-01-2023,Mouse,56.47,North,17.98
06-01-2023,Laptop,760.62,West,177.63
06-01-2023,Mouse,74.24,West,26.98
06-01-2023,Mouse,54.21,North,11
06-01-2023,Monitor,415.53,South,74.2
06-01-2023,Smartphone,645.11,South,169.03
06-01-2023,Monitor,1375.37,South,208.26
07-01-2023,Monitor,1257.54,Central,386.98
07-01-2023,Smartphone,370.13,East,55.49
07-01-2023,Keyboard,90.83,West,26.62
07-01-2023,Mouse,77.36,West,27.21
07-01-2023,Smartphone,707.81,Central,75.02
08-01-2023,Laptop,571.75,Central,92.32
08-01-2023,Smartphone,713.22,East,95.61
09-01-2023,Monitor,1420.28,West,408.14
09-01-2023,Keyboard,76.35,East,26.34
09-01-2023,Smartphone,808.46,Central,200.26
09-01-2023,Smartphone,788.48,Central,130.07
10-01-2023,Monitor,388.21,West,116.58
10-01-2023,Smartphone,834.72,Central,161.42
10-01-2023,Keyboard,48.45,South,18.92
10-01-2023,Keyboard,59.12,West,21.09
10-01-2023,Monitor,676.26,East,109.26
11-01-2023,Keyboard,40.52,South,15.32
11-01-2023,Smartphone,544.06,West,156.07
12-01-2023,Laptop,503.67,Central,112.39
12-01-2023,Monitor,765.49,Central,134.19
12-01-2023,Laptop,559,North,147.75
12-01-2023,Smartphone,427.12,South,102.7
13-01-2023,Laptop,1239.98,Central,427.68
13-01-2023,Monitor,1185.02,North,212.5
13-01-2023,Tablet,538.44,South,133.21
13-01-2023,Smartphone,897.77,West,113.9
13-01-2023,Smartphone,398.87,East,52.78
13-01-2023,Monitor,1384.22,West,261.53
14-01-2023,Laptop,864.49,West,129.97
14-01-2023,Mouse,99.93,West,28.48
